cy_id,contract_target,adolescent_fert_1000,working_age_pop_ratio,fixed_phone_subs,dfi_inflows_usd,gdp_usd,gdp_growth_pct,imp_sanitation_access_pct,imp_water_access_pct,inflation_pct,internet_access_pct,merch_exports_usd,merch_imports_usd,mortality_rate_under5_opct,pop_over_65,pop_under_15,pop_female_pct,pop_total,pop_rural_pct
Togo_2004,1,93.2272,85.9687996091901,65949.0,59358133.05185501,2090478112.9623399,2.11906531640768,11.4,56.0,3.01646942874594,1.5,601000000.0,880000000.0,108.1,2.78151521805447,43.4460239120856,50.968416623806895,5428552.0,65.27600000000001
Togo_2005,1,93.0648,85.19811236814529,62831.0,95965416.4656432,2115154262.03025,1.18040695642318,11.4,56.7,7.75250348468843,1.8,660135000.0,1060214079.33751,105.1,2.7549474124267994,43.2488218910014,50.9285311315314,5578219.0,64.815
Togo_2006,1,92.9024,84.9748652261097,82057.0,91315553.9230547,2200869038.62955,4.05241254210087,11.4,57.3,-0.7805282520309621,2.0,630343000.0,1084652603.79812,102.1,2.75380636494873,43.1847946023979,50.8888685359397,5732175.0,64.351
Togo_2007,1,92.74,84.6826393903205,99483.0,62324369.4018094,2251278929.1195,2.29045388913029,11.4,57.9,2.648307689215,2.2,676894090.350473,1237116000.0,99.2,2.74775253488125,43.1053063502837,50.850127002957706,5890414.0,63.88399999999999
Togo_2008,1,92.5394,84.35561969168769,140919.0,50687212.17122821,2301380696.66455,2.22548023245798,11.5,58.6,14.580892168407305,2.4,852603253.648351,1509387000.0,96.4,2.7374149111414905,43.01959528077029,50.8126550796745,6052937.0,63.413000000000004
Togo_2009,0,92.3388,84.01256895559091,178713.0,46118873.8986581,2382165986.74385,3.5102966752256,11.5,59.2,1.85527461568604,2.6,903026000.0,1508526000.0,93.6,2.7234326206425,42.932453513889,50.776629520008896,6219761.0,62.942
Togo_2010,0,92.1382,83.6475712035274,60011.0,124942198.617536,2477349687.3510103,3.99567877036402,11.5,59.8,1.17724554950122,3.0,976221387.2237152,1682694734.46173,90.9,2.70696343882841,42.8409143007715,50.742146859627894,6390851.0,62.467
Togo_2011,0,91.9376,83.50831731708429,60273.0,727757280.602829,2598337598.19828,4.883763946003429,11.5,60.5,7.52958806832041,3.5,1178724000.0,2187270000.0,88.3,2.72449167164038,42.782065490447295,50.7094765464055,6566179.0,61.99
Togo_2012,0,91.73700000000001,83.2633442666063,61590.0,121518516.132142,2751964077.948,5.91249111956205,11.5,61.1,6.498249505883559,4.0,1313740507.3580801,2380480000.0,85.8,2.73823707698418,42.695477231686894,50.6786294612725,6745581.0,61.507
Togo_2013,0,91.8462,82.9079826508874,62537.0,195754579.931949,2892799209.5817103,5.1176224559852805,11.6,61.8,1.9992747595478,4.5,1521941543.19488,2666180000.0,83.3,2.7490795917687003,42.57862095432071,50.649073804263104,6928719.0,61.021
Togo_2014,0,91.9554,82.4308618256975,63200.0,292085515.2048,3057945831.5343,5.70888644485153,11.6,62.4,-1.40391074215553,5.7,1350000000.0,2800000000.0,80.8,2.7576599439816,42.427053322601296,50.62011931420261,7115163.0,60.531000000000006
